year,make,model,body_styles,identifier
1992,Chevrolet,Lumina,"[""Sedan"", ""Coupe""]",81FE2D03-5B9D-41B0-EF4B-0151C34FBB2D
1992,Chevrolet,Lumina APV,"[""Van/Minivan""]",D4397475-D50D-B6CA-64AA-C86F608FF18C
1992,Chevrolet,S10 Blazer,"[""SUV""]",EB54CD58-7C37-F099-2DE9-06638899E138
1992,Chevrolet,S10 Extended Cab,"[""Pickup""]",40F66037-8EDA-D461-7D2A-5BEE30CBEA71
1992,Chevrolet,S10 Regular Cab,"[""Pickup""]",9E2E4670-9A3A-330C-86D0-CC5F1DA73542
1992,Chevrolet,Sportvan G10,"[""Van/Minivan""]",F4B1C1A1-B79A-DAC9-C30A-AC6954E3D0DB
1992,Chevrolet,Sportvan G20,"[""Van/Minivan""]",E50CDEE5-547A-3A71-DFB8-197FE10BFC56
1992,Chevrolet,Sportvan G30,"[""Van/Minivan""]",F4EA8F87-94EE-E917-C7C3-288E614EBF1F
1992,Chevrolet,Suburban 1500,"[""SUV""]",67D52B74-74EB-FDC6-ADB5-ABEBE15847FE
1992,Chevrolet,Suburban 2500,"[""SUV""]",1D4B0F16-BC2D-A335-C8CE-C68E4BD7217C
1992,Chrysler,Fifth Ave,"[""Sedan""]",FD1436C0-1480-5BCD-7630-49B5600BB559
1992,Chrysler,Imperial,"[""Sedan""]",1F9128E5-1404-3BB0-161B-1D02EEB4EDE4
1992,Chrysler,LeBaron,"[""Sedan"", ""Coupe"", ""Convertible""]",0EBA5E13-DCC7-A195-FAC7-7C711A7B834E
1992,Chrysler,New Yorker,"[""Sedan""]",7F045730-6F7E-D6EC-7D54-F2B5696270EF
1992,Chrysler,Town & Country,"[""Van/Minivan""]",A4CB9CD7-C55A-D70A-9E70-8B71BFFD531E
1992,Daihatsu,Charade,"[""Sedan"", ""Hatchback""]",9C12D30A-9810-F029-3DB7-C444BAD6F02C
1992,Daihatsu,Rocky,"[""SUV""]",8D559C48-E485-1994-2D6B-95335A5ABF1C
1992,Dodge,Caravan Cargo,"[""Van/Minivan""]",A1343F94-B816-F2E5-5EED-27696B542D9C
1992,Dodge,Caravan Passenger,"[""Van/Minivan""]",DFBAE763-DA4C-84D4-EDD2-C9B25AD9F7A7
1992,Dodge,Colt,"[""Hatchback""]",AD190017-86C6-ED6F-B716-E1616FB05ED7
1992,Dodge,D150 Club Cab,"[""Pickup""]",76EE03D1-EB26-CAB3-E7C4-4A2229DD294F
1992,Dodge,D150 Regular Cab,"[""Pickup""]",E3A1F715-CBCD-CCDF-6955-EB7DEA95DB59
1992,Dodge,D250 Club Cab,"[""Pickup""]",8D692794-7AE7-148E-2526-8E7317F781F7
1992,Dodge,D250 Regular Cab,"[""Pickup""]",01F38D13-0AD3-58F4-608C-1315393A0494
1992,Dodge,D350 Club Cab,"[""Pickup""]",86ACE416-3D6A-87DE-F30F-B68357E23EA8
1992,Dodge,D350 Regular Cab,"[""Pickup""]",DFDC80BF-6098-37EB-4F23-C99D1A2A30B1
1992,Dodge,Dakota Club Cab,"[""Pickup""]",313A65D5-1F6D-3672-E072-BF2193C4D260
1992,Dodge,Dakota Regular Cab,"[""Pickup""]",66A4F7E9-1964-D7DF-2913-9A71BEE8EAA9
1992,Dodge,Daytona,"[""Hatchback""]",D46FC3BA-81FA-E3BF-5EEC-1929DE537DB4
1992,Dodge,Dynasty,"[""Sedan""]",6E591D94-65E6-C037-0EEF-55E52E204093
1992,Dodge,Grand Caravan Passenger,"[""Van/Minivan""]",8FF8BDD2-4C7F-023F-9EC8-ABE79B67A158
1992,Dodge,Monaco,"[""Sedan""]",EBE66994-9CB7-E6B1-313C-53D4143FF21C
1992,Dodge,Ram 50 Regular Cab,"[""Pickup""]",EE1BB765-3782-7245-7280-2B67F3A1C614
1992,Dodge,Ram Van B150,"[""Van/Minivan""]",3B34A677-1239-6853-6DC7-186A94572280
1992,Dodge,Ram Van B250,"[""Van/Minivan""]",8768096B-9F7A-1B62-18FC-719889C28418
1992,Dodge,Ram Van B350,"[""Van/Minivan""]",FF5ED302-E9B4-A080-5730-15F1C0D51A21
1992,Dodge,Ram Wagon B150,"[""Van/Minivan""]",0A08184E-0C4D-FD73-94A8-5F0BB0CDE1D2
1992,Dodge,Ram Wagon B250,"[""Van/Minivan""]",99C3D1D7-F34F-1E09-368E-87D0FB99928D
1992,Dodge,Ram Wagon B350,"[""Van/Minivan""]",095718CA-2939-24BF-58DC-3520027982BF
1992,Dodge,Ramcharger,"[""SUV""]",0941978C-CBC0-7D47-87E9-67BE43D726F6
1992,Dodge,Shadow,"[""Hatchback"", ""Convertible""]",F2F0D4A3-2E86-CB11-D2A6-6096F3EBFC54
1992,Dodge,Spirit,"[""Sedan""]",EDEB193D-0780-5E6F-DD80-E2139B8E7A2E
1992,Dodge,Stealth,"[""Hatchback""]",A94E4A92-E2D1-6A40-6A10-4B91DDBFB4BC
1992,Dodge,Viper,"[""Convertible""]",0417D4E1-FB0E-C363-8ACC-FA9F8A86D810
1992,Eagle,Premier,"[""Sedan""]",8527AF56-3ECF-14AE-9AF3-FF1E1AD920F8
1992,Eagle,Summit,"[""Sedan"", ""Hatchback"", ""Wagon""]",7FA8C648-9FA1-EDFC-29ED-26584E4BB0B7
1992,Eagle,Talon,"[""Hatchback""]",70E07897-88A5-07D4-0A43-6C0BE7EDFD9D
1992,Ford,Aerostar Cargo,"[""Van/Minivan""]",6A112015-D437-7949-E121-E1E22DB8A517
1992,Ford,Aerostar Passenger,"[""Van/Minivan""]",0C6B5BE0-93A6-A869-B00F-68A99C765003
1992,Ford,Bronco,"[""SUV""]",BBC5664F-B4F7-B0E0-CCF0-239E5A71520F
1992,Ford,Club Wagon,"[""Van/Minivan""]",40168849-21BB-8A80-3746-E72300575105
1992,Ford,Crown Victoria,"[""Sedan""]",818FD095-E5DC-6D97-8F0C-420ED9F515FF
1992,Ford,Econoline E150 Cargo,"[""Van/Minivan""]",018FC190-57E0-EA95-4AC8-DD01F5A843B2
1992,Ford,Econoline E250 Cargo,"[""Van/Minivan""]",EDABAF64-0EBF-64ED-A1A1-22A969EFEA75
1992,Ford,Econoline E350 Cargo,"[""Van/Minivan""]",D31EFF91-804D-E74C-A4EB-2EF0FA8D9159
1992,Ford,Escort,"[""Hatchback"", ""Sedan"", ""Wagon""]",988124F3-AB57-53E3-02CB-68565FEA0C34
1992,Ford,Explorer,"[""SUV""]",EA212778-4E83-36FF-B45D-8F0C79BF4C73
1992,Ford,F150 Regular Cab,"[""Pickup""]",C280F2B7-2066-5EE4-7799-7F28629533A1
1992,Ford,F150 Super Cab,"[""Pickup""]",4C366B0A-072F-CBF8-CBF1-50306ACC90BC
1992,Ford,F250 Regular Cab,"[""Pickup""]",3B5D5979-DC27-F78D-EB60-97BA945C2EA3
1992,Ford,F250 Super Cab,"[""Pickup""]",E6ED36AE-8252-04AE-1145-EF0BEB6191E5
1992,Ford,F350 Crew Cab,"[""Pickup""]",BD9FB68D-558F-2166-FBCE-03B444E25100
1992,Ford,F350 Regular Cab,"[""Pickup""]",8EE90861-2FDF-737D-F62E-634D446064D9
1992,Ford,F350 Super Cab,"[""Pickup""]",B25CAF65-C42C-3CF7-AC01-3A8C663B51CE
1992,Ford,Festiva,"[""Hatchback""]",CA7254F0-ED3C-2CCB-4F39-FDCC56598BBC
1992,Ford,Mustang,"[""Coupe"", ""Convertible""]",38F9D89B-8098-BD49-8BDF-63A3A8BA5F0A
1992,Ford,Probe,"[""Hatchback""]",1E42CDF8-EFAF-07D7-7F7E-5110B5C39907
1992,Ford,Ranger Regular Cab,"[""Pickup""]",456332D4-5D04-96B4-EE7E-AC7A2752AC4F
1992,Ford,Ranger Super Cab,"[""Pickup""]",12447D74-80AF-E652-58F2-A38D60AE5A71
1992,Ford,Taurus,"[""Sedan"", ""Wagon""]",8D260C48-0ED7-2FE3-2E07-04862938049B
1992,Ford,Tempo,"[""Sedan"", ""Coupe""]",89630041-047C-33E9-7136-AB09DCA50D13
1992,Ford,Thunderbird,"[""Coupe""]",1B774E9C-78AD-C937-3B7A-34F4D2221553
1992,Geo,Metro,"[""Hatchback"", ""Convertible""]",F6236297-8E25-C417-CC1F-C9EE52E51ADD
1992,Geo,Prizm,"[""Sedan""]",6EBB1132-DD51-8863-D4D1-D0DD8D01EC9B
1992,Geo,Storm,"[""Coupe"", ""Hatchback""]",2047339C-D821-5995-08D0-0FEB3E6C9E2F
1992,Geo,Tracker,"[""SUV""]",33204BBD-B56C-BEDC-38DD-0BAEC23AFDC8
1992,GMC,1500 Club Coupe,"[""Pickup""]",022D11DE-529B-1226-496C-20B1A0962135
1992,GMC,1500 Regular Cab,"[""Pickup""]",6DE59E40-F3DC-BFCD-B386-11736CB0857A
1992,GMC,2500 Club Coupe,"[""Pickup""]",D3100A0D-6062-E92C-4426-B403C4E59561
1992,GMC,2500 Regular Cab,"[""Pickup""]",FF2D35C4-283D-D68A-FC69-305687763E4B
1992,GMC,3500 Club Coupe,"[""Pickup""]",BED7EE84-7BFF-329C-AF7A-F266C69C4C50
1992,GMC,3500 Crew Cab,"[""Pickup""]",3D1ADF9F-06F6-2544-128E-0EB1E68ADC12
1992,GMC,3500 Regular Cab,"[""Pickup""]",845EB15F-3E05-2028-A08A-6C3E70EE7DE6
1992,GMC,Jimmy,"[""SUV""]",4686A281-765F-1016-ECC1-05746ACF59F4
1992,GMC,Rally Wagon 1500,"[""Van/Minivan""]",A2C4A9D1-FE7F-B749-D54C-6BAAEF74ABE9
1992,GMC,Rally Wagon 2500,"[""Van/Minivan""]",EEC893AF-8308-FB35-A8DA-F1E9E509B33C
1992,GMC,Rally Wagon 3500,"[""Van/Minivan""]",E426B36A-ED70-C17C-0582-D098BBA29871
1992,GMC,Safari Cargo,"[""Van/Minivan""]",61F06C44-2B39-F8E1-01B4-36AB2E588554
1992,GMC,Safari Passenger,"[""Van/Minivan""]",501DD338-F44A-6DA8-28E2-DC6067AEE802
1992,GMC,Sonoma Club Cab,"[""Pickup""]",8A2EE8BC-D706-9745-AA9B-6F960905E2BA
1992,GMC,Sonoma Regular Cab,"[""Pickup""]",927921E6-319F-668A-52CA-E4CE10DBEB93
1992,GMC,Suburban 1500,"[""SUV""]",F62B0C65-E8DB-40B1-3127-FEF19F6D91C5
1992,GMC,Suburban 2500,"[""SUV""]",2F97B37C-4F03-F9D4-CE0C-4610D98A3A90
1992,GMC,Vandura 1500,"[""Van/Minivan""]",FBA4E8A8-DFAE-D608-6908-BDE6662FD68B
1992,GMC,Vandura 2500,"[""Van/Minivan""]",C852D0BE-4498-6C83-38FC-48E9B3005711
1992,GMC,Vandura 3500,"[""Van/Minivan""]",A1336C37-3CEC-501B-BC99-E3ACBA5EF6C5
1992,GMC,Yukon,"[""SUV""]",358FAAA5-8FD6-2E76-928B-4E4CF9607F85
1992,Honda,Accord,"[""Coupe"", ""Wagon"", ""Sedan""]",F2CF4D72-A5D3-1320-3DCF-8BBA4001C691
1992,Honda,Civic,"[""Hatchback"", ""Sedan""]",19C831E9-64B4-45E6-CB7E-F6C6C5BF76D9
1992,Honda,Prelude,"[""Coupe""]",DCF67F5A-2590-97CF-E4C2-91FA29597F72
1992,Hyundai,Elantra,"[""Sedan""]",2DBB1998-D7ED-08C7-3C0C-BBCAF2CE72DD
1992,Hyundai,Excel,"[""Sedan"", ""Hatchback""]",A7214E92-CD8B-503D-09EE-D7FFA1BF66E2
1992,Hyundai,Scoupe,"[""Coupe""]",52F6356F-29A6-F5AD-FC8E-0F45AF3A258B
1992,Hyundai,Sonata,"[""Sedan""]",248C5093-DEF7-A13F-9C29-E96ECC43AF02
1992,INFINITI,G,"[""Sedan""]",CC44F527-24B8-CA22-BECF-1C3CE648E603
1992,INFINITI,M,"[""Coupe"", ""Convertible""]",9DEA194C-326E-EFE6-85CE-12CABAC7F112
1992,INFINITI,Q,"[""Sedan""]",CB6E9423-9AF3-C2F5-ABB3-C8895DA3E637
1992,Isuzu,Amigo,"[""SUV""]",17C62B22-2730-57A5-D04D-2762A42FC982
1992,Isuzu,Impulse,"[""Hatchback""]",E6D0EBE4-55D2-3E46-1E88-BD8A00B5D7D9
1992,Isuzu,Regular Cab,"[""Pickup""]",92C121A8-9001-74C2-30E3-2FE1289A42F5
1992,Isuzu,Rodeo,"[""SUV""]",5E44A883-3E9E-DD3E-455C-853B4C2873F9
1992,Isuzu,Spacecab,"[""Pickup""]",61051AB2-D64E-ADAC-64C7-A63307AFB0F0
1992,Isuzu,Stylus,"[""Sedan""]",CFDE4E36-561E-C8C8-0E3A-5699B93B785B
1992,Isuzu,Trooper,"[""SUV""]",117B48CF-F8E1-8FB2-0AE5-9107DE0FE2F6
1992,Jaguar,XJ,"[""Sedan"", ""Coupe"", ""Convertible""]",2BEDC86E-EEB9-AA16-C4BC-FF13ECB6CC04
1992,Jeep,Cherokee,"[""SUV""]",43136259-C6C4-3367-1B02-010D48CA0074
1992,Jeep,Comanche Regular Cab,"[""Pickup""]",0A58CF33-92C6-0D4B-0FCE-11C95F02881A
1992,Jeep,Wrangler,"[""SUV""]",60DB5054-1A99-B1A3-8220-4EFAB31F9C81
1992,Land Rover,Range Rover,"[""SUV""]",F5669FCA-E926-A8B2-5F50-CF96A442C895
1992,Lexus,ES,"[""Sedan""]",145F5D70-F5B8-905B-1BDD-9AE41525B3B3
1992,Lexus,LS,"[""Sedan""]",43AABADD-8288-50BA-FB98-3723FA139172
1992,Lexus,SC,"[""Coupe""]",B487B41E-C06D-D054-72C0-2A69210FFBB5
1992,Lincoln,Continental,"[""Sedan""]",393AA5A3-D700-A6D6-F9A3-3C3CF0FC2C1A
1992,Lincoln,Mark VII,"[""Coupe""]",BE57C5D5-0BA0-B757-C3BB-D6B0ABF2A15D
1992,Lincoln,Town Car,"[""Sedan""]",188C8D46-2901-2DAA-333D-9C8BD29DA527
1992,MAZDA,323,"[""Hatchback""]",08B54B10-5693-8368-6DAF-94DE7E7F6D21
1992,MAZDA,626,"[""Sedan""]",8198B939-9824-3A97-6F8A-1338B012CBAC
1992,MAZDA,929,"[""Sedan""]",097C1507-CAD3-A07D-2BF5-339A309CD0B8
1992,MAZDA,B-Series Cab Plus,"[""Pickup""]",32E488A9-CC91-96DD-7CEA-42314BC6FA90
1992,MAZDA,B-Series Regular Cab,"[""Pickup""]",A6BECF1A-5127-118D-80ED-4F6495E0435B
1992,MAZDA,MPV,"[""Van/Minivan""]",42D0B737-4928-E761-7CD9-0AF714A807EF
1992,MAZDA,MX-3,"[""Hatchback""]",BEE03AD8-44A1-4ED6-C01D-49227F761649
1992,MAZDA,MX-5 Miata,"[""Convertible""]",C2509D6A-BB1D-A9DF-2190-B3AA1BA9156A
1992,MAZDA,MX-6,"[""Coupe""]",54418764-48C0-D646-3AB6-B95CDDB82226
1992,MAZDA,Navajo,"[""SUV""]",9F7F97D5-8F18-A462-F120-0AB987C0A49F
1992,MAZDA,Protege,"[""Sedan""]",CDE1F8AE-5113-3C77-ADDE-9D558B9EC749
1992,Mercedes-Benz,190 E,"[""Sedan""]",F3A46115-A458-D6FD-0B42-4F67AE4909A7
1992,Mercedes-Benz,300 CE,"[""Coupe""]",F736CF83-6D24-E25F-95FC-9A696AF033EB
1992,Mercedes-Benz,300 D,"[""Sedan""]",69F2657C-3496-9883-42A8-E94FAF852FE5
1992,Mercedes-Benz,300 E,"[""Sedan""]",542F3B63-F201-F430-81F3-BDD0D55B023D
1992,Mercedes-Benz,300 SD,"[""Sedan""]",4095507B-CB01-2C0A-A376-882FBE569307
1992,Mercedes-Benz,300 SE,"[""Sedan""]",1907D81C-1B8D-722C-07B1-494B5AD44DA1
1992,Mercedes-Benz,300 SL,"[""Convertible""]",160037E2-5462-E3BE-6459-5999A5CDDE6F
1992,Mercedes-Benz,300 TE,"[""Wagon""]",C97877EC-33E9-4380-9900-B3A1E14D2764
1992,Mercedes-Benz,400 E,"[""Sedan""]",42510E52-5F6D-C223-108F-D9BAC5D35494
1992,Mercedes-Benz,400 SE,"[""Sedan""]",6794DA6F-362E-57E7-BD2B-7FD0FEE0B7A3
1992,Mercedes-Benz,500 E,"[""Sedan""]",7104AFE6-3A5F-2183-C27F-9F3EBB4F3C3B
1992,Mercedes-Benz,500 SEL,"[""Sedan""]",9F0AE18E-E189-0F9C-F2CD-3E27B1B07434
1992,Mercedes-Benz,500 SL,"[""Convertible""]",85D3B601-5ABD-7947-AD5B-7A94C4979849
1992,Mercedes-Benz,600 SEL,"[""Sedan""]",5FF44432-CAD7-76D1-F9BD-DBB8E7F266D2
1992,Mercury,Capri,"[""Convertible""]",5D6AF801-4F8C-93A4-74C0-677976102125
1992,Mercury,Cougar,"[""Coupe""]",1D26E27F-0A4F-C6CE-979A-AB17E5D628E6
1992,Mercury,Grand Marquis,"[""Sedan""]",393D244D-3E07-C81C-5A4D-8A4E9D4939F9
1992,Mercury,Sable,"[""Sedan"", ""Wagon""]",4CA55D79-C3F6-4155-5319-D037BAC4693C
1992,Mercury,Topaz,"[""Sedan"", ""Coupe""]",7F66740F-0291-3086-7476-FCD2C29936F6
1992,Mercury,Tracer,"[""Sedan"", ""Wagon""]",1A2AB935-D9A5-33ED-3EBF-A3D9DDB26859
1992,Mitsubishi,3000GT,"[""Hatchback""]",EC6FF6D0-69E7-E042-A186-B28F071BD101
1992,Mitsubishi,Diamante,"[""Sedan""]",44F996E8-5997-8B86-697E-2816DAE00F32
1992,Mitsubishi,Eclipse,"[""Hatchback""]",8481EF49-A3A4-031D-C7B1-DF466F058B95
1992,Mitsubishi,Expo,"[""Wagon""]",5C62FF68-690B-7746-422A-B91A7E83E432
1992,Mitsubishi,Galant,"[""Sedan""]",09BF6316-A1A0-2741-2541-FDF0F55D94CD
1992,Mitsubishi,Mighty Max Macro Cab,"[""Pickup""]",4CD66EE1-4ACA-C6E5-0601-E786C370AD86
1992,Mitsubishi,Mighty Max Regular Cab,"[""Pickup""]",5AA6324E-E639-4CC4-9C0B-19DB213590BB
1992,Mitsubishi,Mirage,"[""Hatchback"", ""Sedan""]",63B0BE9F-384E-5645-6BA9-644BE4FE2A18
1992,Mitsubishi,Montero,"[""SUV""]",6534EC32-1E1A-4ACA-EA15-A018E5C3E654
1992,Mitsubishi,Precis,"[""Hatchback""]",BFBF18CC-7163-08EE-7EC2-439B1EBD0E53
1992,Nissan,240SX,"[""Hatchback"", ""Coupe"", ""Convertible""]",92F36AA7-09FD-6DF0-E14E-E0B596A3F78A
1992,Nissan,300ZX,"[""Hatchback""]",CB976543-D0F6-143B-22C6-DB8C13C2DB24
1992,Nissan,King Cab,"[""Pickup""]",89973B13-5CE6-FCB0-9926-CE758555D745
1992,Nissan,Maxima,"[""Sedan""]",1A57F938-89E6-3C2B-2E31-393C7280E395
1992,Nissan,NX,"[""Hatchback""]",38E7D4C5-BD33-AE1D-C99A-FF958A52CB17
1992,Nissan,Pathfinder,"[""SUV""]",5DAA5E9D-B4C0-D35D-38C2-3BAE2ED7B108
1992,Nissan,Regular Cab,"[""Pickup""]",B3034564-D41E-3020-4821-AB2ECFA60052
1992,Nissan,Sentra,"[""Coupe"", ""Sedan""]",29427B19-D840-6D05-9725-F9B3542C5813
1992,Nissan,Stanza,"[""Sedan""]",1B88A9BA-CCF4-2446-5026-429E569D40F6
1992,Oldsmobile,88,"[""Sedan""]",C44CC1B0-7FEA-A911-F3C0-0D9F967A1B6D
1992,Oldsmobile,98,"[""Sedan""]",DB49795A-D755-7149-0AAB-3179CCC94EAC
1992,Oldsmobile,Achieva,"[""Sedan"", ""Coupe""]",C935AB63-F271-B0FA-6C3B-EF350C74981E
1992,Oldsmobile,Bravada,"[""SUV""]",04FA6610-D75A-A4D9-31B4-9DD067BD9FD7
1992,Oldsmobile,Custom Cruiser,"[""Wagon""]",4CD2FF59-F774-1348-DC61-CC31B7B5D8BB
1992,Oldsmobile,Cutlass Ciera,"[""Sedan"", ""Wagon""]",47A95C54-B5D8-257A-A092-62C2D2893517
1992,Oldsmobile,Cutlass Supreme,"[""Sedan"", ""Convertible"", ""Coupe""]",DCA0437B-02B8-DCB0-14A0-840D13A8DDE8
1992,Oldsmobile,Silhouette,"[""Van/Minivan""]",AE92E651-3EEB-2D97-A3D5-A3DBE4978220
1992,Oldsmobile,Toronado,"[""Coupe""]",6D4D71F1-B428-1FB7-D841-5866B02C1F6A
1992,Plymouth,Acclaim,"[""Sedan""]",6AACECA8-E254-A1CF-5E43-0D744FDA350A
1992,Plymouth,Colt,"[""Hatchback""]",D2013157-EE2C-F162-4BCD-375D4403DBEC
1992,Plymouth,Colt Vista,"[""Wagon""]",07986446-8561-9C00-209C-C14FC7097E3D
1992,Plymouth,Grand Voyager,"[""Van/Minivan""]",155CA9EC-A5FF-AE04-D2A6-7FAA604B8C1A
1992,Plymouth,Laser,"[""Hatchback""]",DEFDFE54-69AA-0E13-9B5A-D4DF3C612AB1
1992,Plymouth,Sundance,"[""Hatchback""]",AA66E613-34DA-C3A6-8B85-54C4B966B47B
1992,Plymouth,Voyager,"[""Van/Minivan""]",F125E46E-B6C8-C45C-0015-7C11E3452AB9
1992,Pontiac,Bonneville,"[""Sedan""]",1E12F835-DFB1-5DE1-0FB9-E6E96F618D4B
1992,Pontiac,Firebird,"[""Hatchback"", ""Convertible""]",F85A7792-F6F5-0FF7-B003-98989B9489A4
1992,Pontiac,Grand Am,"[""Sedan"", ""Coupe""]",65557DE1-9CFB-19A4-4787-CCCCD5D5080C
1992,Pontiac,Grand Prix,"[""Coupe"", ""Sedan""]",6529F13A-541F-6063-EAA5-BC4CB83AE5E6
1992,Pontiac,LeMans,"[""Hatchback"", ""Sedan""]",32B26D5D-EFAC-7F2F-717B-48BEBC17BBEC
1992,Pontiac,Sunbird,"[""Sedan"", ""Coupe"", ""Convertible""]",252BC076-92A5-A734-19E9-4F0BB8325DF9
1992,Pontiac,Trans Sport,"[""Van/Minivan""]",5949AB61-C520-9D42-25DF-0736A5EE6D7C
1992,Porsche,911,"[""Coupe"", ""Convertible""]",0143DB89-225C-7BEA-2933-6B31789F7C07
1992,Porsche,968,"[""Coupe"", ""Convertible""]",DB59AC71-9B3A-C984-3639-5B356CBE6E3E
1992,Saab,900,"[""Sedan"", ""Hatchback"", ""Convertible""]",979DCC03-8A5A-69EB-7B55-1AB5206F7AB6
1992,Saab,9000,"[""Sedan"", ""Hatchback""]",6DD5AC18-8BF8-6BF0-62A9-26EF4B9AF987
